,movie_names,ratings,voting_counts,duration_minutes,genre
136,Rafa Márquez: El Capitán,6.6,199,82,sport
137,In Inima Nationalei,7.8,200,103,sport
138,CZW: Tournament of Death 21,6.885207100591716,0,88,sport
139,UFC 299: O'Malley vs. Vera 2,7.4,83,180,sport
140,Top Rider,6.885207100591716,0,84,sport
141,Clash of Dynasties: St. Edward vs Walsh Jesuit,6.885207100591716,0,88,sport
142,1600 Meter,6.885207100591716,0,106,sport
143,Salty Amazons,6.885207100591716,0,32,sport
144,Nema ne mogu,6.885207100591716,0,54,sport
145,I am the girl 2 and my black belt,6.885207100591716,0,122,sport
146,Dolly: Story of a Warrior,6.885207100591716,0,88,sport
147,Hatching Eagles,6.9,23,63,sport
148,DitO,5.8,23,117,sport
149,Deathgrip 2,6.885207100591716,0,59,sport
150,Giroud,6.4,26,80,sport
151,Below the Rim,5.0,16,89,sport
152,"Rylan: Homophobia, Football & Me",5.5,24,0,sport
153,Roman Kostomarov. Rozhdennyy dvazhdy,6.885207100591716,0,77,sport
154,Fencing for the Edge,6.885207100591716,0,75,sport
155,Puffing Iron,7.5,20,98,sport
156,Ice Aged,7.0,8,110,sport
157,Il tempo è ancora nostro,6.885207100591716,0,88,sport
158,Trailblazers,6.4,18,38,sport
159,Welcome Back,7.4,5,119,sport
160,Sculpting and Flowing with Marikah,6.885207100591716,0,88,sport
161,UFC 302: Makhachev vs. Poirier,6.7,96,180,sport
162,Phantom of the Ice,7.6,735,0,sport
163,Faster: Only one lap,6.9,24,90,sport
164,Qajymuqan,4.8,5,0,sport
165,UFC 304: Edwards vs. Muhammad 2,6.0,73,200,sport
166,Passion of Iron,9.3,18,0,sport
167,Episodes: Ukraine at the World Cup (2024),8.1,72,79,sport
168,Thirty On,6.885207100591716,0,88,sport
169,Daley,7.8,180,102,sport
170,Za predelami. Snezhnye psy,6.885207100591716,0,72,sport
171,Welcome to the J-Rod Show,5.6,7,44,sport
172,Athletes of War,6.885207100591716,0,95,sport
173,"Traineras, pasión por el remo",6.0,7,0,sport
174,The Road to OVC Champions,6.885207100591716,0,62,sport
175,"Surf on, Europe!",7.5,25,92,sport
176,Inazuma Eleven the Movie: Prologue to the New Heroes,6.885207100591716,0,88,sport
177,Rhythm Masters: A Mickey Hart Experience,7.3,23,0,sport
178,Vincenzo Nibali - Il 7° campione,6.885207100591716,0,52,sport
179,V potoke trekh stikhiy,5.2,42,85,sport
180,Wave Warriors IV,6.885207100591716,0,88,sport
181,Take the Steps,8.3,74,83,sport
182,O Fenômeno eSports,6.885207100591716,0,88,sport
183,Gyakorlat teszi a mestert,6.1,15,46,sport
184,Beyond the Podium: Celebrating Canadian Women Champions,6.885207100591716,0,88,sport
185,Freedom Shred: A Juneteenth Declaration,6.885207100591716,0,55,sport
186,I Am Kevin Harvick,9.1,17,0,sport
187,Twitch,6.885207100591716,0,88,sport
188,Za predelami. Semdesyat pervyy,6.885207100591716,0,74,sport
189,Quest for the Shield,9.2,12,112,sport
190,Nine: The Big Break,6.885207100591716,0,88,sport
191,UFC 303: Pereira vs. Prochazka 2,6.4,71,195,sport
192,Za predelami. Nad vodoy,6.885207100591716,0,67,sport
193,Until the end,6.885207100591716,0,88,sport
194,Not Just A Shot: A Disc Golf Story,6.885207100591716,0,59,sport
195,More Than a Whistle,6.885207100591716,0,88,sport
196,Fútbol desde el corazón,6.885207100591716,0,90,sport
197,87 Candles,9.0,10,55,sport
198,Dare to Dream,6.885207100591716,0,114,sport
199,Quote 10.35,8.0,24,35,sport
200,Rafting Middle Ocoee River with Melissa,6.885207100591716,0,125,sport
201,9 Hao Chuan Qi,6.885207100591716,0,88,sport
202,Zlatan Ibrahimovic hyllningsmatch (Sweden vs Serbia),6.6,6,170,sport
203,Chava. El ciclista del pueblo,6.5,14,0,sport
204,Za predelami. Ostavit sled,6.885207100591716,0,80,sport
205,Kick Start,6.885207100591716,0,88,sport
206,Gaffer,6.885207100591716,0,88,sport
207,Peleamos,8.7,26,0,sport
208,¡Qué suerte hemos tenido!,7.5,16,62,sport
209,Veljko od mora,7.2,16,53,sport
210,11 Brothers: The Movie,6.885207100591716,0,88,sport
211,Altitude FC: Rising Together,6.885207100591716,0,88,sport
212,The Path Full of Stars,6.885207100591716,0,60,sport
213,"Prost itinéraire, d'une légende",6.885207100591716,0,88,sport
214,Seamus,6.885207100591716,0,62,sport
215,Surfin Estate,6.885207100591716,0,88,sport
216,Drachten Journaals,6.885207100591716,0,51,sport
217,Ice Fishing Hardcore: On the Road,9.6,7,0,sport
218,Khapsyhyy,5.4,7,90,sport
219,Triumf,7.3,9,113,sport
220,Obseassion,6.885207100591716,0,32,sport
221,Paulsbyen: Verdensmester,6.885207100591716,0,88,sport
222,UNDERDROGS: a League of Ireland Story,6.885207100591716,0,30,sport
223,UFC 297: Strickland vs. du Plessis,6.3,64,180,sport
224,Invicta FC 59: Bernardo vs. Maia,6.885207100591716,0,88,sport
225,Rising Tennis Star Meloni Jones,6.885207100591716,0,88,sport
226,Beta Squad vs AMP Charity Match 2024,7.3,9,210,sport
227,Cold Brew,6.885207100591716,0,22,sport
228,Senza volto - Storia di Fabrizio Maiello,6.885207100591716,0,99,sport
229,Volare più in alto,6.885207100591716,0,51,sport
230,Is University Really Worth It?,5.1,12,60,sport
231,Ocoee Rafting Trip Pilot,6.885207100591716,0,55,sport
232,8 secondes,6.885207100591716,0,89,sport
233,UFC 308: Topuria vs. Holloway in COSM Shared Reality,6.885207100591716,0,88,sport
234,Sportzal,6.885207100591716,0,65,sport
235,Gangwon 2024 Winter Youth Olympics - Opening Ceremony,6.885207100591716,0,88,sport
236,UFC 309: Jones vs. Miocic in COSM Shared Reality,6.885207100591716,0,88,sport
237,TAÏ: 33 jours dans la dernière forêt d'Afrique de l'Ouest,6.885207100591716,0,88,sport
238,Gangwon 2024 Winter Youth Olympics - Closing Ceremony,6.885207100591716,0,88,sport
239,Leuchtend Schwarz - Sturm und der Weg zum Double,6.885207100591716,0,88,sport
240,El Chilote: Gloria del Béisbol Dominicano,6.885207100591716,0,75,sport
241,Atlético Marbella. Aquel Fútbol de los 90,6.885207100591716,0,88,sport
242,Not That NB,6.885207100591716,0,88,sport
243,A Piece of Home,6.885207100591716,0,88,sport
244,EL DESAFÍO IMPOSIBLE: LA CUMBRE DE LOS 7000 METROS,6.885207100591716,0,88,sport
245,Sport Gives Back Awards 2024,6.885207100591716,0,70,sport
246,Mais Fortes,6.885207100591716,0,54,sport
247,Phoenix: A Purdue Basketball Story,6.885207100591716,0,82,sport
248,Emirates NBA Cup in COSM Shared Reality,6.885207100591716,0,88,sport
249,Hard 90 to Home,6.885207100591716,0,46,sport
250,The IV Crown Showdown Final Press Conference,6.885207100591716,0,114,sport
251,Transitalia Marathon International Classic Motorbike Challenge,6.885207100591716,0,88,sport
252,Ligure sa Trebevica,6.885207100591716,0,54,sport
253,La vida en rojo,6.885207100591716,0,64,sport
254,UFC 306: O'Malley vs. Dvalishvili in COSM Shared Reality,6.885207100591716,0,88,sport
255,1984: 40 Years Strong and True,6.885207100591716,0,88,sport
256,A La Fin du Film - Real Madrid v Bayern Münich,6.885207100591716,0,48,sport
257,Rafting with Alex Ocoee Middle,5.2,7,47,sport
258,Champions in May,6.885207100591716,0,127,sport
259,Being 500 A Professional Wrestling Documentary,6.885207100591716,0,88,sport
260,Natural Selection Tour 2024,6.885207100591716,0,88,sport
261,Wölfinnen - Die Jagd nach dem Triple,6.885207100591716,0,93,sport
262,Fotbollsåret 2023,6.885207100591716,0,88,sport
263,Me to stahy sti fanela,6.885207100591716,0,48,sport
264,Choices & Decisions,6.885207100591716,0,74,sport
265,Snow Going Back: Comic Relief v the Arctic,6.885207100591716,0,59,sport
