,movie_names,ratings,voting_counts,duration_minutes,genre
141,Blood'less' Revolution,6.7,312,103,history
142,The Colonizer,6.771806167400881,0,77,history
143,Quo Vadis,6.4,514,90,history
144,Yakamoz,6.5,16,96,history
145,Mustafa,6.9,76,75,history
146,"Carville: Winning Is Everything, Stupid",7.2,274,98,history
147,Zhi Ci Qing Lv,6.6,51,89,history
148,"À l'école de l'universel: Germaine Le Goff, l'histoire d'une pionnière",6.771806167400881,0,53,history
149,Six Nine Five (695),7.0,706,137,history
150,"Silver, Speik and Sumpters",6.771806167400881,0,91,history
151,The Fall of 2008,7.7,11,61,history
152,Ray of Hope,7.0,11,105,history
153,Cinta Dari Timor,5.3,24,82,history
154,Chernyy zamok,4.9,56,115,history
155,The Happiest Place on Earth,5.9,15,0,history
156,Bloodspawn,6.3,11,76,history
157,Ennio Doris - C'è anche domani,5.2,106,90,history
158,Dad's Secret War: France 1944,6.771806167400881,0,58,history
159,I am Al Ittihad,4.9,230,90,history
160,Wilhelm Gustloff,8.7,9,110,history
161,Lafran,8.4,19,99,history
162,Solos en la noche,5.7,103,88,history
163,Holdin' Weight: The Darryl Reed Story,6.771806167400881,0,91,history
164,Malês,6.771806167400881,0,91,history
165,Wieland,5.7,17,0,history
166,Paul Anka: His Way,7.3,11,100,history
167,Cândido,6.3,63,99,history
168,Guadalupe: Mother of Humanity,7.0,40,102,history
169,Gadera,5.1,50,108,history
170,"Arlempdes, la légende du premier château de la Loire",6.5,12,0,history
171,Manyunya. Priklyucheniya v Moskve,5.7,111,87,history
172,Drava se ne predaje,8.3,9,0,history
173,Meet the Roman Emperor with Mary Beard,7.7,48,59,history
174,You Are Always Right Here,6.771806167400881,0,91,history
175,Manyunya. Priklyucheniya v derevne,5.8,121,84,history
176,Aliens Uncovered: The Land of Legends,8.9,9,0,history
177,Churchill's Forgotten War,7.4,14,47,history
178,Legend of the Lizard,6.771806167400881,0,91,history
179,Village of Death: Oradour-sur-Glane 1944,7.8,15,58,history
180,Kargil 1999- The Untold Story of the Indian Air Force,8.5,15,0,history
181,Powstaniec 1863,5.3,142,115,history
182,Running Towards the Fire - A War Correspondent's Story,6.771806167400881,0,56,history
183,Burgemeestersmoord,6.4,85,0,history
184,Myall Creek Day of Justice,6.4,17,78,history
185,Ecce Homo Brâncoveanu,6.9,166,92,history
186,The Legacy of Mahaveer,7.1,66,0,history
187,Bröderna Andersson,7.3,121,84,history
188,Pirates & Slaves,5.8,6,53,history
189,On Moral Grounds,8.4,7,74,history
190,Giannis in the Cities,6.7,26,90,history
191,Clergyman,6.771806167400881,0,114,history
192,Colors of the Sun,6.771806167400881,0,91,history
193,Detor: The Rise of a Warrior Hunter,6.771806167400881,0,126,history
194,Mi Ilustrísimo Amigo,6.771806167400881,0,80,history
195,Sragaal,8.4,20,140,history
196,Marcho - L'ultima bandiera,6.771806167400881,0,75,history
197,L'orizzonte chiuso,8.0,5,0,history
198,"Zeme, kas dzied",6.4,77,150,history
199,The Birth of Korea,4.9,130,101,history
200,Le choix du pianiste,5.8,13,106,history
201,Vremya vernutsya,6.6,19,100,history
202,The Lost Colony,6.771806167400881,0,91,history
203,The Haka Party Incident,6.771806167400881,0,90,history
204,Toque de Queda,6.771806167400881,0,120,history
205,Die Mutigen 56 - Deutschlands längster Streik,6.5,11,90,history
206,Drama 1882,9.1,19,45,history
207,3 Frauen 1 Streik,6.6,22,0,history
208,Mythical Creatures,6.771806167400881,0,90,history
209,Aliens Uncovered: The Thunder God,8.5,8,0,history
210,North Korea: Dark Secrets,5.8,83,79,history
211,Pol Pot Dancing,7.1,14,102,history
212,Madame Durocher,6.6,24,0,history
213,Who Killed Lawrence of Arabia?,6.5,32,100,history
214,Aquarius,6.5,26,75,history
215,Public Defender,8.0,19,0,history
216,Ett hjärta är alltid rött,7.1,399,103,history
217,Operation Star,7.8,25,102,history
218,The Words Women Spoke One Day,6.771806167400881,0,84,history
219,Last Flamingo of the Red Summer Sunset,8.8,14,80,history
220,Iyunskaya polyn,8.7,7,79,history
221,Avalanche! The 1910 Great Northern Railway Disaster,6.771806167400881,0,65,history
222,America's Woman,6.771806167400881,0,73,history
223,Fedeltà Soldati. Prigionieri.,6.771806167400881,0,80,history
224,Sisam,6.4,10,0,history
225,The Hegartys of the Laurels,6.771806167400881,0,91,history
226,Synthwave Horror: Night of the Living Dead,6.771806167400881,0,91,history
227,La tv nel pozzo,6.771806167400881,0,91,history
228,The Old Baraboo Inn,6.771806167400881,0,48,history
229,Pismo,6.771806167400881,0,71,history
230,Jíkuri,6.771806167400881,0,91,history
231,And the Balls Roll On...: The Real Story of the Beautiful Game of Skee-Ball,6.771806167400881,0,93,history
232,Ainda Somos os Mesmos,5.8,47,90,history
233,"Colón ADN, su verdadero origen",6.4,54,106,history
234,"Gaza, since October 7",6.771806167400881,0,94,history
235,Cinema Strada,6.771806167400881,0,106,history
236,The Word,6.771806167400881,0,45,history
237,Stampila,7.4,9,0,history
238,Queen Elizabeth II: Before the Crown,6.771806167400881,0,45,history
239,Saigon,6.771806167400881,0,91,history
240,Ekpebiwo m (I have Decided),6.771806167400881,0,91,history
241,Silence in Sikeston,6.771806167400881,0,56,history
242,Giuseppe Taliercio: Il delitto perduto,6.771806167400881,0,91,history
243,Chhatrapati Tararani,8.9,20,0,history
244,Titanus 1904,6.771806167400881,0,75,history
245,Onihei Hankacho: Ketto,6.3,16,0,history
246,Ensamble Patagonia,6.771806167400881,0,91,history
247,Witness to Revolution: One Doctor's Story of the Xinhai Revolution,6.771806167400881,0,57,history
248,Iron Bar,6.771806167400881,0,117,history
249,Hancsovszky,7.8,21,0,history
250,Sathur: Part1,6.771806167400881,0,91,history
251,Piri Reis: The Incredible Chart,7.0,27,138,history
252,Burkitt,6.771806167400881,0,73,history
253,Nebesko,5.1,10,73,history
254,SLON,6.771806167400881,0,91,history
255,Márton Áron Erdély püspöke,6.771806167400881,0,90,history
256,Colonel Xanthi,6.771806167400881,0,91,history
257,"Napoléon, Albine, Betsy et les autres",6.771806167400881,0,91,history
258,Comrade Yuri,6.771806167400881,0,91,history
259,Bad Case of the Country Blues: The Linda Martell Story,6.771806167400881,0,89,history
260,Theodor,6.771806167400881,0,120,history
261,Lulu in Turin,8.5,6,76,history
262,Tayna Chyornoy Ruki,5.7,24,84,history
263,The Queen of Akra,6.771806167400881,0,91,history
264,Isobel,6.771806167400881,0,91,history
265,À Mesa da Unidade Popular,6.771806167400881,0,85,history
266,Douglas Stories,6.771806167400881,0,91,history
267,Rising Tennis Star Meloni Jones,6.771806167400881,0,91,history
268,O Voo do Crocodilo - O Timor de Ruy Cinatti,6.771806167400881,0,71,history
269,"Haïti, la rançon de l'indépendance",6.771806167400881,0,63,history
270,Azerbaijan Atabeyler,7.6,5,100,history
271,El Genocidio Silencioso,6.771806167400881,0,82,history
272,Magic & Monsters,6.771806167400881,0,91,history
273,Calico Rebellion,6.771806167400881,0,70,history
274,Ghost Camera,6.771806167400881,0,101,history
275,Gateway District - Project Algerine,6.771806167400881,0,91,history
276,Aiyefele,6.771806167400881,0,91,history
277,Destiny or Will. Marusia,8.9,17,0,history
278,Raconte-moi la France,6.771806167400881,0,91,history
279,The Man Outside,7.6,12,70,history
280,"Renato Schlatter, l'ange déchu du football suisse",6.771806167400881,0,90,history
281,Frederick Douglass - My Path to Freedom,6.771806167400881,0,90,history
282,Los indomables,6.5,9,106,history
283,Xun zhao tang de zhang,7.8,16,93,history
284,Rinnans rival,6.771806167400881,0,94,history
285,Illuminate - Monica Vitti - La donna che visse due volte,6.771806167400881,0,45,history
286,All or Nothin',8.0,32,95,history
287,"Georges Pompidou, la cruauté du pouvoir",6.5,7,104,history
288,On the Wing,6.771806167400881,0,86,history
289,Descartes in Egmond,6.771806167400881,0,72,history
290,Ajiniyaz,6.771806167400881,0,91,history
291,"Otger Cataló, La llegenda",6.771806167400881,0,91,history
292,"...Mayombe, Paula?",6.771806167400881,0,91,history
293,Ugly Bird,6.771806167400881,0,91,history
294,This Is Not A Lost Film by Khavn,6.771806167400881,0,60,history
295,Freedom Shred: A Juneteenth Declaration,6.771806167400881,0,55,history
296,Christian Growth Through Hymns,6.771806167400881,0,50,history
297,"Ritter, Burgen, Edelfrauen - Liebessagen aus dem Mittelalter",6.771806167400881,0,91,history
298,¿De qué casa eres?,6.771806167400881,0,72,history
299,Istanbul: Isgal ve Zafer,6.771806167400881,0,54,history
300,Tesouro Natterer,6.771806167400881,0,84,history
301,Un paese ci vuole,6.771806167400881,0,91,history
302,Castles in Haiti,6.771806167400881,0,91,history
303,Fast Track: Taking on the Speedway,9.4,9,35,history
304,Vola Colomba - Trieste 1954,6.771806167400881,0,52,history
305,Manuscripts,6.771806167400881,0,54,history
306,Vernye,6.771806167400881,0,70,history
307,Oda: Vlucht door de Eeuwen,6.4,7,0,history
308,Song of the Last Lacandon Holy Man,6.771806167400881,0,67,history
309,Maverick from the Edge,6.771806167400881,0,107,history
310,A Cowardly Rout: The Bull Run Account of William Howard Russell,6.771806167400881,0,18,history
311,2053 - A Best Case Scenario,6.771806167400881,0,58,history
312,"Cintas, Fotocopias y Sellos Trucados",6.771806167400881,0,108,history
313,Svjedoci pravde - Ratni zlocini u Bosanskom Novom,6.771806167400881,0,91,history
314,Max Corvo for Freedom the Secret War of Oss in Italy 1943-1945,6.771806167400881,0,91,history
315,Triumf,7.3,9,113,history
316,Ukku Satyagraham,6.771806167400881,0,139,history
317,Ek Chilte Jol,9.2,13,119,history
318,C'era una volta il Derby Club,7.4,17,90,history
319,The Canal Map of Britain,6.8,10,59,history
320,Krigsvarsleren,7.8,8,55,history
