,movie_names,ratings,voting_counts,duration_minutes,genre
138,Memoir Seorang Guru,7.1,132,120,biography
139,Cookster: The Darkest Days,8.3,42,119,biography
140,Ol' Dirty Bastard: A Tale of Two Dirtys,6.7,220,86,biography
141,Satyashodhak,8.3,382,145,biography
142,The Man Who Loved UFOs,5.2,609,107,biography
143,Karina,7.1,18,91,biography
144,Nasty,7.7,1100,103,biography
145,Becoming Hitchcock: The Legacy of Blackmail,7.2,278,72,biography
146,Glenn Fredly: The Movie,6.7,129,121,biography
147,The Peanut Man,5.5,74,0,biography
148,Hawala,9.1,122,0,biography
149,God Be with Us,6.1,16,90,biography
150,Laura,6.4,244,104,biography
151,Yatra 2,6.3,9700,132,biography
152,Rock Bottom,6.4,52,86,biography
153,Padatik,8.0,114,126,biography
154,Saint Nick of Bethlehem,9.0,103,93,biography
155,"Iki Gözüm Ahmet, Sürgün",3.7,141,113,biography
156,Madu,5.3,268,100,biography
157,Diane von Furstenberg: Woman in Charge,7.2,319,97,biography
158,Komandir,6.3,532,131,biography
159,The Ballad of Suzanne Césaire,5.9,36,75,biography
160,The Movie Man,7.7,189,89,biography
161,The Sidemen Story,6.7,1700,99,biography
162,Daytime Revolution,6.8,100,108,biography
163,Kulej. Dwie strony medalu,6.4,337,148,biography
164,Suzzanna: The Queen of Black Magic,6.5,48,88,biography
165,Oscar Wilde About America,4.2,33,98,biography
166,Concepción,8.7,27,140,biography
167,Faruk,6.6,420,97,biography
168,Sharon Stone: Survival Instinct,6.9,69,52,biography
169,Raghuveer,8.9,68,125,biography
170,Obraz,7.5,21,95,biography
171,Sadik Ahmet,7.7,430,125,biography
172,Hola Frida,7.2,35,82,biography
173,Patrice: The Movie,8.3,231,102,biography
174,A Dangerous Boy,6.8,112,90,biography
175,Taghiev: Oil,9.2,83,120,biography
176,Bach - Ein Weihnachtswunder,6.2,169,89,biography
177,76 Days Adrift,6.94281045751634,0,105,biography
178,Blues Run the Game: The Strange Tale of Jackson C. Frank,5.8,7,0,biography
179,Born to Be Wild: The Story of Steppenwolf,7.2,40,100,biography
180,Hope of Escape,7.7,43,91,biography
181,Klitschko: More Than a Fight,6.3,511,96,biography
182,Blood'less' Revolution,6.7,312,103,biography
183,Estimados Señores,7.6,62,98,biography
184,Hyper: The Stevie Hyper D Story,8.8,30,91,biography
185,"Carville: Winning Is Everything, Stupid",7.2,274,98,biography
186,Shahid,6.5,84,84,biography
187,Maurice And I,8.9,26,98,biography
188,Gold,7.7,75,126,biography
189,Mit einem Tiger schlafen,6.8,154,107,biography
190,Pastor's Kid,6.6,41,90,biography
191,"À l'école de l'universel: Germaine Le Goff, l'histoire d'une pionnière",6.94281045751634,0,53,biography
192,Knock Out Blonde: The Kellie Maloney Story,6.0,23,90,biography
193,Padu,5.1,81,97,biography
194,Silvio,3.0,526,114,biography
195,Ray of Hope,7.0,11,105,biography
196,Schindler Space Architect,7.7,9,93,biography
197,Der Soldat Monika,6.8,32,109,biography
198,Beethoven's Nine: Ode to Humanity,6.7,25,85,biography
199,Ennio Doris - C'è anche domani,5.2,106,90,biography
200,Michael Jackson: Ungloved,6.4,26,60,biography
201,Son Sarki: Ahmet'in Türküsü,1.6,114,101,biography
202,Vivekam,8.2,309,104,biography
203,Lafran,8.4,19,99,biography
204,Chabuca,6.7,251,113,biography
205,Zwanzig Jahre an der Peitsche,6.94281045751634,0,89,biography
206,Kushstock: The Movie,6.94281045751634,0,92,biography
207,Spyral,8.3,21,83,biography
208,Funmilayo Ransome-Kuti,8.5,98,91,biography
209,Um Lobo Entre os Cisnes,6.94281045751634,0,92,biography
210,Blake Edwards: A Love Story in 24 Frames,7.5,77,0,biography
211,Paul Anka: His Way,7.3,11,100,biography
212,Zuckerberg: King of the Metaverse,5.7,263,90,biography
213,Harimau Malaya: The Untold Journey,8.2,23,125,biography
214,Riv i hjertet,7.2,34,107,biography
215,Sant Tukaram,6.94281045751634,0,92,biography
216,The Real RFK Jr.,6.94281045751634,0,92,biography
217,Joachim and the Apocalypse,7.5,16,90,biography
218,Sube a mi Nube,6.0,27,110,biography
219,COMA,9.4,9,80,biography
220,Janet Jackson: In Control,5.4,8,60,biography
221,The Truth: The Journey Within,7.2,8,91,biography
222,"Marisol, llámame Pepa",6.8,118,87,biography
223,Go Against the Flow,5.3,163,97,biography
224,You Are Always Right Here,6.94281045751634,0,92,biography
225,Il était une fois Michel Legrand,7.9,44,109,biography
226,Legend of the Lizard,6.94281045751634,0,92,biography
227,La valanga azzurra,7.6,11,90,biography
228,Powstaniec 1863,5.3,142,115,biography
229,Ruki vverkh!,5.5,266,102,biography
230,The Man Died,3.2,7,105,biography
231,Yaremchuk: Nezrivniannyi svit krasy,8.6,472,92,biography
232,Un hombre libre,8.0,10,88,biography
233,Bad Bunny: Global Takeover,6.94281045751634,0,60,biography
234,All Access to Rossa 25 Shining Years,8.7,66,91,biography
235,Reba McEntire: Country Gold,7.5,10,60,biography
236,"Steven Spielberg, l'homme et l'enfant",6.7,48,56,biography
237,Niepewnosc. Zakochany Mickiewicz,3.6,55,113,biography
238,Charmian Clift: Life Burns High,7.9,15,80,biography
239,Bröderna Andersson,7.3,121,84,biography
240,No More Trouble - Cosa rimane di una tempesta,8.6,20,97,biography
241,Majnoon,6.9,35,0,biography
242,Izvan vremena,6.94281045751634,0,95,biography
243,Rory Gallagher: Calling Card,9.0,10,0,biography
244,Pensando ad Anna,8.2,6,0,biography
245,Parviz Khan,5.9,216,110,biography
246,Barnen från Camp Ashraf,5.3,20,88,biography
247,A nuestros amigos,7.5,15,90,biography
248,Clergyman,6.94281045751634,0,114,biography
249,Light Blue,4.2,124,0,biography
250,Nonkonform,7.7,22,117,biography
251,Roughneck,6.94281045751634,0,92,biography
252,Waldo,6.6,7,104,biography
253,Ninety Minutes Later,7.4,5,88,biography
254,Graciano Rocchigiani - Das Herz eines Boxers,9.2,51,123,biography
255,"Sean Penn, L'enfant terrible de l'Amérique",7.1,45,52,biography
256,Soares é Fixe,4.8,79,83,biography
257,Que notre joie demeure,6.94281045751634,0,108,biography
258,Wole Soyinka Eni Ogun,6.94281045751634,0,92,biography
259,Rhythm of a Flower,7.4,15,81,biography
260,It'll Never Work,9.6,30,57,biography
261,Bhanu,6.94281045751634,0,134,biography
262,Boy,6.94281045751634,0,92,biography
263,Me Dicen El Panzer,6.8,8,90,biography
264,Main Mulayam Singh Yadav,3.8,201,120,biography
265,Mythical Creatures,6.94281045751634,0,90,biography
266,Oh Beautiful Grandmother!,6.94281045751634,0,92,biography
267,"François Truffaut, le scénario de ma vie",6.8,42,98,biography
268,MatPat the Movie,9.0,26,0,biography
269,30 to 45,6.94281045751634,0,118,biography
270,Dr. Hedgewar,6.94281045751634,0,160,biography
