,movie_names,ratings,voting_counts,duration_minutes,genre
119,Sanatorium Under the Sign of the Hourglass,5.4,128,75,animation
120,Trapezium,6.2,164,95,animation
121,Bocchi the Rock! Recap Part 1,7.5,192,90,animation
122,Bloody Escape: Bats out of Hell,5.5,57,100,animation
123,Ya Boy Kongming! Road to Summer Sonia,7.4,40,119,animation
124,Dead Dead Demon's Dededede Destruction,7.1,148,120,animation
125,(S)KiDS,8.6,112,85,animation
126,Kizumonogatari: Koyomi Vamp,7.1,102,144,animation
127,Cille 2069,7.1,96,0,animation
128,Exorcism Chronicles: The Beginning,6.4,123,85,animation
129,Heartsping : Teenieping of Love,7.1,26,0,animation
130,My Redneck Neighbor: Chapter 2 - Let the Games Begin,6.6,9,55,animation
131,Transformers Prime: Galavatron's Revenge,4.3,14,104,animation
132,Where the Robots Grow,2.7,523,0,animation
133,"Maya, donne-moi un titre",6.4,60,61,animation
134,Inanimate Insanity II: The Movie,8.3,239,106,animation
135,The Formula for Water,4.6,37,86,animation
136,Kvitebjørn,5.9,74,85,animation
137,Maxxie LaWow: Drag Super-shero,8.7,64,114,animation
138,A Few Moments of Cheers,7.2,50,68,animation
139,Fureru,6.3,38,107,animation
140,Ivan Tsarevich i Seryy Volk 6,5.7,97,85,animation
141,Rock Bottom,6.4,52,86,animation
142,Bocchi the Rock! Recap Part 2,7.4,130,77,animation
143,SuperKlaus,4.3,204,88,animation
144,Zak & Wowo: The Legend of Lendarys,5.7,103,85,animation
145,Tobias and the Arcane Merchant,9.0,45,167,animation
146,Luntik. Vozvrashchenie domoy,6.3,79,0,animation
147,Le parfum d'Irak,8.0,47,95,animation
148,Taisu Xilie,6.625769230769232,0,100,animation
149,Schirkoa: In Lies We Trust,5.6,162,103,animation
150,The Storm,6.0,144,102,animation
151,Woolina and the No Birds,8.1,50,80,animation
152,Si Juki the Movie: Harta Pulau Monyet,6.0,127,107,animation
153,STEVE (A Minecraft Movie),6.9,12,61,animation
154,God with Three Eyes,5.7,23,112,animation
155,Fuuto PI: Portrait of Kamen Rider Skull,7.5,48,82,animation
156,Jon Vardar protiv Galaksijata,8.2,77,86,animation
157,TWST: Things We Said Today,7.0,62,86,animation
158,Ganbatte Ikimasshoi,5.2,13,95,animation
159,Hola Frida,7.2,35,82,animation
160,Tay 2: Ebabil Takimi,5.0,44,78,animation
161,Code Geass: Rozé of the Recapture - Part 1,7.6,42,74,animation
162,DreadClub: Vampire's Verdict,4.9,62,0,animation
163,PAPmusic - Animation for Fashion,1.0,163,85,animation
164,Masha i Medved v kino: Park chudes,7.4,18,58,animation
165,Double Tuckerr,4.9,1200,120,animation
166,"Robotia, the Movie",7.6,31,86,animation
167,Kral Sakir: Devler Uyandi,5.3,69,0,animation
168,Askepote,3.5,84,72,animation
169,Yumi's Cells: The Movie,6.2,53,93,animation
170,Quo Vadis,6.4,514,90,animation
171,Dead Dead Demon's Dededede Destruction Zenpen,7.1,142,120,animation
172,Mustafa,6.9,76,75,animation
173,Bob a Bobek ve filmu: Na stope Mrkvojeda,7.2,32,80,animation
174,The Summer of Mermaid,7.9,108,0,animation
175,The Worlds Divide,7.9,40,120,animation
176,Steal the Naughty List,6.3,126,90,animation
177,"Silex and the City, le film",5.0,52,77,animation
178,Slocum et moi,7.3,77,75,animation
179,Lilla spöket Laban spökar igen,6.1,29,44,animation
180,Hello My Beautiful Creatures,6.8,173,142,animation
181,Astra,6.8,8,80,animation
182,Life with Quincy 3,6.625769230769232,0,73,animation
183,Captain Avispa,5.7,180,96,animation
184,Olivia & the Clouds,7.3,56,81,animation
185,Nature Cat's Nature Movie Special Extraordinaire,7.3,19,53,animation
186,Rocket Club: Across the Cosmos,8.4,19,68,animation
187,Balentes,6.625769230769232,0,70,animation
188,Rocky and Bullwinkle,9.2,15,100,animation
189,Apocalypse Love,6.4,5,0,animation
190,Return,6.625769230769232,0,90,animation
191,Pui Pui Molcar the Movie: Molmax,7.0,9,69,animation
192,Tri kota. Zimnie kanikuly,6.6,35,65,animation
193,The Cheshire Cat,6.625769230769232,0,64,animation
194,Benjamin Bat,7.8,33,75,animation
195,Teacher's Pet,5.4,36,0,animation
196,Motu Patlu & The Race to the Diamond Valley,7.8,28,72,animation
197,Tri bogatyrya. Ni dnya bez podviga,5.7,71,61,animation
198,The Fifth Element,6.625769230769232,0,78,animation
199,Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4,75,70,animation
200,Il segreto di Liberato,7.3,227,90,animation
201,Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,7.4,15,59,animation
202,Inazuma Eleven Movie: The Legendary Kickoff,8.3,7,0,animation
203,Transformers: 40th Anniversary Event,7.4,30,96,animation
204,Becho,7.2,10,0,animation
205,Riki Rhino: The Bird Kingdom,5.1,25,109,animation
206,Dikkie Dik en de Verdwenen Knuffel,7.3,131,62,animation
207,The Greatest Surf Movie in the Universe,4.7,9,81,animation
